@relation _Users_Siddhartha_Documents_Academics_5thSem_CS626_Project_nlpProject_LyricsSentiAnalysis_NoStemmingLyricsCorpus

@attribute text string
@attribute @@class@@ {Angry,Happy,Romantic,Sad}

@data
'android porn\n\n\n\nnote back with a classic what you lookin so shocked for\n\nyou knew that this was comin bitch turn up your speakers\n\ni burn thru the heaters the type to spit flames at the sun\n\nand put it out  put it simply i am hot bitch\n\nlasmosis on the track no time and the bets off\n\ntake shots turn that gun around and blow your own heads off\n\ncause bitch i will keep comin like i am nikes in sweat shops\n\ni ride this track till the wheels crack motherfuck a rest stop\n\nhit you in the back with the beat so hard you brace from it\n\nsay nothin or face someone in a league of their own\n\nirobot sunnysonny take a seat you a clone\n\ni forgot others want a seat on the throne\n\nbut i won not let anybody beat me to home base\n\ni am so hot baby this the right time in the wrong place\n\nrap on dubstep bitch i kill it like road rage\n\npause no way honey my best friends success\n\nand i am about to let this motherfucker lead the way\n\n\n\nheavy shit  never quit\n\nheaven sent  you scared of it\n\nthink that you prepared to spit embarrassment\n\nis all you will ever get you a pussy i am the rapist call me therapist~\n\n\n\ntell me someone else you know like me who spits it similar\n\ntwo hits of ritalin this is me calmed down\n\nfirst class flight and i am pullin the bombs out\n\nlike me against the world motherfucker fuck peace i want war now\n\nloose lips and i am pulling your jaw out\n\nback on my sick shit in my basement as i fritzl your grandkids\n\nleave shit stains all over your damn crib\n\nlike cartman redecorated fuck keep me medicated\n\nno sleep in seven days kids reaching for my level\n\nnever level headed when my foots down\n\nyou can not reach the pedal\n\nplayed like jipetto this isn not the pot calling all you kettles black\n\nhow you critique my skills when all you have said is wack\n\nand when all is said and done\n\nyou have done nothing that you said you could have done\n\nrap industry or you  who you think really won\n\nmost of us are really dumb\n\nno scratch that tear out your teeth and your tongue\n\nyou fucking heard me cunt i want you really dumb haaaaaah\n\n\n\n\n\nstrapped with these insanities my rage is influenced \n\nby pages and pages of music took me ages to do it\n\nnow check what other rappers say and it is putrid\n\nget on stage and they are stupid\n\nthe games dying cause the players are useless\n\nyes to staying dated saying nay to the new shit\n\nyou want to be an animal that why you are caged in the booth bitch\n\nchained to the ways of jumping thru hoops just to say you can do shit\n\nlike bust guns you are the reason why i pray for this music\n\nevery track you ever lay getting muted\n\nevery stack you ever make probably getting recouped\n\nwhy can not you just stay true to the music\n\nbefore i taser you fluids pumped through your veins from a tube\n\nnot on the same page you looking lame like road rage in a buick\n\nyou got bars but come and see my cage when i lure you\n\nbackstage you are trapped  wait here till i get back with the chainsaw\n\nand leave your brains all dangling from his neck while his head barely hangs on\n\ni knew it but wouldn not say\n\ni was hoping that you would learn from mistakes\n\nbut you are bewitched so you can burn at the stake\n\nwhen i get on stage i take my soul and i put it to 110\%\n\nyou can not do it you are just lazy you are thru with\n\nembrace change i am insane but i use it\n\nall the pain and the weight upon my shoulders is broadway on my loose leaf\n\nsay i am fake bitch i say i am the truest\n\ni create from the heart\n\nyou can laugh but i know i can do it\n\nyou are gone',Angry
'around the fur\n\n\n\nhey vanity this vile empty so are you\n\nhey glamorous this vile not god anymoreyeah\n\n\n\nspeak i don not get it\n\nshould i ignore the fasion\n\nor go buy the book\n\ni dont want it\n\ni just want your eyes fixated on me\n\ncoming back aaah\n\ncoming back around the fur\n\n\n\nprostitute climb back down from the floor\n\nplease dont fuck around and die like this cause i love  her\n\n\n\nspeak i don not get it\n\nshould i ignore the fasion\n\nor go buy the book\n\ni dont want it\n\ni just want your eyes fixated on me\n\ncoming back aah\n\ncoming back around the fur\n\n\n\nfur the fur\n\nspeak speak you are so bad to me\n\ni dont want to get dressed over anyway\n\ncome on have some fun\n\ni am innocent drop your weapons and come on\n\nyou are a liar you are a liar and i don not care about aaah',Angry
'away from me\n\n\n\nyea lies\n\n\n\nlook at me now \n\njust sittin here by myself\n\nand i think you found someone else\n\nnow i am gonna have to find \n\na way to put the bottle down\n\nand why can’t you see\n\nthat i’m drowning in a pool of misery\n\n\n\ni’m always afraid\n\nthat you’re gone\n\naway from me\n\ni’m always afraid\n\nthat you’re lost in somebody\n\ni’m always afraid\n\nthat you’re gone\n\naway from me\n\ni’m always afraid \n\nthat you’re lost\n\n\n\nso here i am \n\ni don not wanna be by myself\n\nand i think you’re fucking someone else\n\nnow im gonna have to find a way\n\nto take the knife out of my back\n\nand how could you leave me\n\nstranded in a closet full of bones\n\n\n\ni’m always afraid\n\nthat you’re gone\n\naway from me\n\ni’m always afraid\n\nthat you’re lost in somebody\n\ni’m always afraid\n\nthat you’re gone\n\naway from me\n\ni’m always afraid \n\nthat you’re lost\n\n\n\nmaybe you could let me stay\n\nmaybe just for one more day\n\nyou could help me stay the same\n\nmaybe things won’t ever change\n\nmaybe we could taste the rain\n\nyou could push me out the way\n\n\n\nnow i sit here by myself\n\nthink about somebody else\n\nhow could you let them take you away from me\n\nthere’s somebody else\n\nthere’s somebody else\n\n\n\ni’m always afraid\n\nthat you’re gone\n\naway from me\n\ni’m always afraid\n\nthat you’re lost in somebody\n\ni’m always afraid\n\nthat you’re gone\n\naway from me\n\ni’m always afraid \n\nthat you’re',Angry
'the bleeding\n\n\n\ni remember when all the games began\n\nremember every little lie and every last goodbye\n\npromises you broke words you choked on\n\nand i never walked away\n\nit still a mystery to me\n\n\n\nwell i am so empty\n\ni am better off without you and you are better off without me\n\nwell you are so unclean\n\ni am better off without you and you are better off without me\n\n\n\nthe lying the bleeding the screaming\n\nwas tearing me apart\n\nthe hatred deceiving the beatings it is over\n\n\n\npaint the mirrors black to forget you\n\ni still picture your face and the way you used to taste\n\nroses in a glass dead and wilted\n\nto you this all was nothing\n\neverything to you is nothing\n\n\n\nwell you are so filthy\n\ni am better off without you and you are better off without me\n\nwell i am so ugly\n\nyou are better off without me and i am better off alone\n\n\n\nthe lying the bleeding the screaming\n\nwas tearing me apart\n\nthe hatred the beatings disaster it is over\n\n\n\nas wicked as you are you are beautiful to me\n\nyou are the darkest burning star you are my perfect disease\n\n\n\nthe lying the bleeding the screaming\n\nwas tearing me apart\n\nthe hatred the beatings it is over\n\ndisaster\n\nthe lying the bleeding the screaming\n\nwas tearing me apart\n\nthe hatred the beatings it is over\n\ndisaster\n\n\n\nit over now',Angry
'bodies\n\n\n\nlet the bodies hit the floor\n\nlet the bodies hit the floor\n\nlet the bodies hit the floor\n\nlet the bodies hit the floooooor \n\nbeaten why for why for\n\ncan not take much more\n\nhere we go\n\nhere we go\n\nhere we go\n\none  nothing wrong with me\n\ntwo  nothing wrong with me\n\nthree  nothing wrong with me\n\nfour  nothing wrong with me\n\n\n\none  something got to give\n\ntwo  something got to give\n\nthree  something got to give\n\nnow\n\nlet the bodies hit the floor\n\nlet the bodies hit the floor\n\nlet the bodies hit the flooooor\n\nlet the bodies hit the floor\n\nlet the bodies hit the floor\n\nlet the bodies hit the flooooor\n\nnow\n\npush me again\n\nthis is the end\n\nhere we go\n\nhere we go\n\nhere we go\n\none  nothing wrong with me\n\ntwo  nothing wrong with me\n\nthree  nothing wrong with me\n\nfour  nothing wrong with me\n\none  something got to give\n\ntwo  something got to give\n\nthree  something got to give\n\nnow\n\nlet the bodies hit the floor\n\nlet the bodies hit the floor\n\nlet the bodies hit the flooooor\n\nlet the bodies hit the floor\n\nlet the bodies hit the floor\n\nlet the bodies hit the floor\n\nskin against skin blood and bone\n\nyou are all by yourself but you are not alone\n\nyou wanted in now you are here\n\ndriven by hate \n\nconsumed by fear\n\nlet the bodies hit the floor \n\nlet the bodies hit the floor\n\nlet the bodies hit the floor\n\nlet the bodies hit the floooooooor\n\none  nothing wrong with me\n\ntwo  nothing wrong with me\n\nthree  nothing wrong with me\n\nfour  nothing wrong with me\n\none  something got to give\n\ntwo  something got to give\n\nthree  something got to give\n\nnow\n\nlet the bodies hit the floor\n\nlet the bodies hit the floor\n\nlet the bodies hit the flooooor\n\nlet the bodies hit the floor\n\nlet the bodies hit the floor\n\nlet the bodies hit the floor',Angry
'break stuff\n\n\n\nits just one of those days \n\nwhen you don not wanna wake up\n\neverything is fucked\n\neverybody sux\n\nyou don not really know why\n\nbut you want justify\n\nrippin someone head off\n\nno human contact\n\nand if you interact\n\nyour life is on contract\n\nyour best bet is to stay away motherfucker\n\nit just one of those days\n\n\n\nits all about the he says she says bullshit\n\ni think you better quit\n\nlettin shit slip\n\nor you will be leavin with a fat lip\n\nits all about the he says she says bullshit\n\ni think you better quit talkin that shit\n\npunk so come and get it\n\nits just one of those days\n\nfeelin like a freight train\n\nfirst one to complain\n\nleaves with a blood stain\n\ndamn right i am a maniac\n\nyou better watch your back\n\ncuz i am fuckin up your program\n\nand if your stuck up\n\nyou just lucked up\n\nnext in line to get fucked up\n\nyour best bet is to stay away motherfucker\n\nits just one of those days \n\n\n\ni feel like shit\n\nmy suggestion is to keep your distance cuz right now im dangerous\n\nwe have all felt like shit\n\nand been treated like shit\n\nall those motherfuckers that want to step up\n\ni hope you know i pack a chain saw\n\ni will skin your ass raw\n\nand if my day keeps goin this way i just might break somethin tonight\n\ni hope you know i pack a chain saw\n\ni will skin your ass raw\n\nand if my day keeps goin this way i just might break somethin tonight\n\ni hope you know i pack a chain saw\n\ni will skin your ass raw\n\nand if my day keeps goin this way i just might break your fuckin face tonight\n\ngive me somethin to break\n\ngive me somethin to break\n\njust give me somethin to break\n\nhow bout your fuckin face\n\ni hope you know i pack a chain saw what\n\na chain saw what\n\na motherfucking chain saw what\n\nso come and get it',Angry
'burning in the skies\n\n\n\ni used the deadwood to make the fire rise\n\nthe blood of innocence burning in the skies\n\ni filled my cup with the rising of the sea\n\nand poured it out in an ocean of debris\n\n\n\ni am swimming in the smoke\n\nof bridges i have burned\n\nso don not apologize\n\ni am losing what i don not deserve\n\nwhat i don not deserve\n\n\n\nwe held our breath when the clouds began to form\n\nbut you were lost in the beating of the storm\n\nand in the end we were made to be apart\n\nin separate chambers of the human heart\n\n\n\ni am swimming in the smoke\n\nof bridges i have burned\n\nso don not apologize\n\ni am losing what i don not deserve\n\n\n\nit in the blackened bones\n\nof bridges i have burned\n\nso don not apologize\n\ni am losing what i don not deserve\n\nwhat i don not deserve\n\n\n\ni am swimming in the smoke\n\nof bridges i have burned\n\nso don not apologize\n\ni am losing what i don not deserve\n\n\n\nthe blame is mine alone\n\nfor bridges i have burned\n\nso don not apologize\n\ni am losing what i don not deserve\n\n\n\nwhat i don not deserve\n\nwhat i don not deserve\n\nwhat i don not deserve\n\n\n\nand here the dead wood to make the fire rise\n\nthe blood of innocence burning in the skies',Angry
'dead bodies everywhere\n\n\n\ncome on step inside and you will realize\n\ntell me what you need tell me what to be\n\nwhat your vision\n\nyou will see what do you expect of me\n\ni cant live that lie \n\n\n\nhey\n\ni have sick mom\n\nwith a fucked dad\n\ndealing with your life\n\ndead bodies everywhere \n\nyou\n\nreally want me to be a good son why\n\nyou make me feel like no one \n\n\n\nlet me strip the plain let me not give in\n\nfree me of your life inside my heart dies\n\nyour dreams never achieved don not lay that shit on me\n\nlet me live my life\n\n\n\nyou want me to be something i can never ever be\n\n\n\ndead bodies everywhere',Angry
'down with the sickness\n\n\n\ncan you feel that\n\nah shit\n\n\n\ndrowning deep in my sea of loathing\n\nbroken your servant i kneel\n\nwill you give in to me\n\nit seems what left of my human side\n\nis slowly changing in me\n\nwill you give in to me\n\n\n\nlooking at my own reflection\n\nwhen suddenly it changes\n\nviolently it changes oh no\n\nthere is no turning back now\n\nyou have woken up the demon in me\n\n\n\nget up come on get down with the sickness \n\nopen up your hate and let it flow into me\n\nget up come on get down with the sickness\n\nyou mother get up come on get down with the sickness\n\nyou fucker get up come on get down with the sickness\n\nmadness is the gift that has been given to me\n\n\n\ni can see inside you the sickness is rising\n\ndon not try to deny what you feel\n\nwill you give in to me\n\nit seems that all that was good has died\n\nand is decaying in me\n\nwill you give in to me\n\n\n\nit seems you are having some trouble\n\nin dealing with these changes\n\nliving with these changes oh no\n\nthe world is a scary place\n\nnow that you have woken up the demon in me\n\n\n\nand when i dream\n\nno mommy don not do it again\n\ndon not do it again\n\ni will be a good boy\n\ni will be a good boy i promise\n\nno mommy don not hit me\n\nwhy did you have to hit me like that mommy\n\ndon not do it you are hurting me\n\nwhy did you have to be such a bitch\n\nwhy don not you\n\nwhy don not you just fuck off and die\n\nwhy can not you just fuck off and die\n\nwhy can not you just leave here and die\n\nnever stick your hand in my face again bitch\n\nfuck you\n\ni don not need this shit\n\nyou stupid sadistic abusive fucking whore\n\nhow would you like to see how it feels mommy\n\nhere it comes get ready to die',Angry
'dyers eve\n\n\n\ndear mother\n\ndear father\n\nwhat is this hell you have put me through\n\nbeliever\n\ndeceiver\n\nday in day out live my life through you\n\npushed onto me what wrong or right\n\nhidden from this thing that they call life\n\ndear mother\n\ndear father\n\nevery thought i would think you would disapprove\n\ncurator\n\ndictator\n\nalways censoring my every move\n\nchildren are seen but are not heard\n\ntear out everything inspired\n\n\n\ninnocence\n\ntorn from me without your shelter\n\nbarred reality\n\ni am living blindly\n\n\n\ndear mother\n\ndear father\n\ntime has frozen still what left to be\n\nhear nothing\n\nsay nothing\n\ncannot face the fact i think for me\n\nno guaranteeit life as is\n\nbut damn you for not giving me my chance\n\ndear mother\n\ndear father\n\nyou have clipped my wings before i learned to fly\n\nunspoiled\n\nunspoken\n\ni have outgrown that fucking lullaby\n\nsame thing i have always heard from you\n\ndo as i say not as i do\n\n\n\ninnocence\n\ntorn from me without your shelter\n\nbarred reality\n\ni am living blindly\n\ni am in hell without you\n\ncannot cope without you two\n\nshocked at the world that i see\n\ninnocent victim please rescue me\n\n\n\ndear mother\n\ndear father\n\nhidden in your world you have made for me\n\ni am seething\n\ni am bleeding\n\nripping wounds in me that never heal\n\nundying spite i feel for you\n\nliving out this hell you always knew',Angry
